Week Ending Date,Upper Bound Threshold,Average Expected Count,Excess Higher Estimate,Week
1/4/20,889,827,27,0
1/11/20,889,829,43,1
1/18/20,894,832,16,2
1/25/20,892,826,27,3
2/1/20,882,819,0,4
2/8/20,880,817,29,5
2/15/20,878,818,0,6
2/22/20,878,819,61,7
2/29/20,879,819,23,8
3/7/20,876,816,5,9
3/14/20,870,810,12,10
3/21/20,868,808,83,11
3/28/20,862,804,56,12
4/4/20,852,795,172,13
4/11/20,844,786,310,14
4/18/20,838,779,327,15
4/25/20,834,775,291,16
5/2/20,822,765,233,17
5/9/20,823,765,140,18
5/16/20,812,756,127,19
5/23/20,811,752,95,20
5/30/20,805,746,87,21
6/6/20,799,742,78,22
6/13/20,792,735,79,23
6/20/20,777,723,138,24
6/27/20,784,727,149,25
7/4/20,781,724,63,26
7/11/20,778,722,93,27
7/18/20,783,727,81,28
7/25/20,779,723,109,29
8/1/20,779,722,90,30
8/8/20,783,726,115,31
8/15/20,787,730,103,32
8/22/20,790,733,126,33
8/29/20,792,736,79,34
9/5/20,803,743,0,35
9/12/20,799,741,108,36
9/19/20,803,749,54,37
9/26/20,814,756,80,38
10/3/20,824,765,12,39
10/10/20,827,767,30,40
10/17/20,839,777,86,41
10/24/20,837,778,87,42
10/31/20,840,783,110,43
11/7/20,834,777,216,44
11/14/20,840,779,227,45
11/21/20,837,776,271,46
11/28/20,846,786,234,47
12/5/20,848,790,0,48