COUNTY,STNAME,CTYNAME
109,Ohio,Miami
111,Ohio,Monroe
113,Ohio,Montgomery
115,Ohio,Morgan
117,Ohio,Morrow
119,Ohio,Muskingum
121,Ohio,Noble
123,Ohio,Ottawa
125,Ohio,Paulding
127,Ohio,Perry
129,Ohio,Pickaway
131,Ohio,Pike
133,Ohio,Portage
135,Ohio,Preble
137,Ohio,Putnam
139,Ohio,Richland
141,Ohio,Ross
143,Ohio,Sandusky
145,Ohio,Scioto
147,Ohio,Seneca
149,Ohio,Shelby
151,Ohio,Stark
153,Ohio,Summit
155,Ohio,Trumbull
157,Ohio,Tuscarawas
159,Ohio,Union
161,Ohio,Van Wert
163,Ohio,Vinton
165,Ohio,Warren
167,Ohio,Washington
169,Ohio,Wayne
171,Ohio,Williams
173,Ohio,Wood
175,Ohio,Wyandot
0,Oklahoma,Oklahoma
1,Oklahoma,Adair
3,Oklahoma,Alfalfa
5,Oklahoma,Atoka
7,Oklahoma,Beaver
9,Oklahoma,Beckham
11,Oklahoma,Blaine
13,Oklahoma,Bryan
15,Oklahoma,Caddo
17,Oklahoma,Canadian
19,Oklahoma,Carter
21,Oklahoma,Cherokee
23,Oklahoma,Choctaw
25,Oklahoma,Cimarron
27,Oklahoma,Cleveland
29,Oklahoma,Coal
31,Oklahoma,Comanche
33,Oklahoma,Cotton
35,Oklahoma,Craig
37,Oklahoma,Creek
39,Oklahoma,Custer
41,Oklahoma,Delaware
43,Oklahoma,Dewey
45,Oklahoma,Ellis
47,Oklahoma,Garfield
49,Oklahoma,Garvin
51,Oklahoma,Grady
53,Oklahoma,Grant
55,Oklahoma,Greer
57,Oklahoma,Harmon
59,Oklahoma,Harper
61,Oklahoma,Haskell
63,Oklahoma,Hughes
65,Oklahoma,Jackson
67,Oklahoma,Jefferson
69,Oklahoma,Johnston
71,Oklahoma,Kay
73,Oklahoma,Kingfisher
75,Oklahoma,Kiowa
77,Oklahoma,Latimer
79,Oklahoma,Le Flore
81,Oklahoma,Lincoln
83,Oklahoma,Logan
85,Oklahoma,Love
87,Oklahoma,McClain
89,Oklahoma,McCurtain
91,Oklahoma,McIntosh
93,Oklahoma,Major
95,Oklahoma,Marshall
97,Oklahoma,Mayes
99,Oklahoma,Murray
101,Oklahoma,Muskogee
103,Oklahoma,Noble
105,Oklahoma,Nowata
107,Oklahoma,Okfuskee
109,Oklahoma,Oklahoma
111,Oklahoma,Okmulgee
113,Oklahoma,Osage
115,Oklahoma,Ottawa
117,Oklahoma,Pawnee
119,Oklahoma,Payne
121,Oklahoma,Pittsburg
123,Oklahoma,Pontotoc
125,Oklahoma,Pottawatomie
127,Oklahoma,Pushmataha
129,Oklahoma,Roger Mills
131,Oklahoma,Rogers
133,Oklahoma,Seminole
135,Oklahoma,Sequoyah
137,Oklahoma,Stephens
139,Oklahoma,Texas
141,Oklahoma,Tillman
143,Oklahoma,Tulsa
145,Oklahoma,Wagoner
147,Oklahoma,Washington
149,Oklahoma,Washita
151,Oklahoma,Woods
153,Oklahoma,Woodward
0,Oregon,Oregon
1,Oregon,Baker
3,Oregon,Benton
5,Oregon,Clackamas
7,Oregon,Clatsop
9,Oregon,Columbia
11,Oregon,Coos
13,Oregon,Crook
15,Oregon,Curry
17,Oregon,Deschutes
19,Oregon,Douglas
21,Oregon,Gilliam
23,Oregon,Grant
25,Oregon,Harney
27,Oregon,Hood River
29,Oregon,Jackson
31,Oregon,Jefferson
33,Oregon,Josephine
35,Oregon,Klamath
37,Oregon,Lake
39,Oregon,Lane
41,Oregon,Lincoln
43,Oregon,Linn
45,Oregon,Malheur
47,Oregon,Marion
49,Oregon,Morrow
51,Oregon,Multnomah
53,Oregon,Polk
55,Oregon,Sherman
57,Oregon,Tillamook
59,Oregon,Umatilla
61,Oregon,Union
63,Oregon,Wallowa
65,Oregon,Wasco
67,Oregon,Washington
69,Oregon,Wheeler
71,Oregon,Yamhill
0,Pennsylvania,Pennsylvania
1,Pennsylvania,Adams
3,Pennsylvania,Allegheny
5,Pennsylvania,Armstrong
7,Pennsylvania,Beaver
9,Pennsylvania,Bedford
11,Pennsylvania,Berks
13,Pennsylvania,Blair
15,Pennsylvania,Bradford
17,Pennsylvania,Bucks
19,Pennsylvania,Butler
21,Pennsylvania,Cambria
23,Pennsylvania,Cameron
25,Pennsylvania,Carbon
27,Pennsylvania,Centre
29,Pennsylvania,Chester
31,Pennsylvania,Clarion
33,Pennsylvania,Clearfield
35,Pennsylvania,Clinton
37,Pennsylvania,Columbia
39,Pennsylvania,Crawford
41,Pennsylvania,Cumberland
43,Pennsylvania,Dauphin
45,Pennsylvania,Delaware
47,Pennsylvania,Elk
49,Pennsylvania,Erie
51,Pennsylvania,Fayette
53,Pennsylvania,Forest
55,Pennsylvania,Franklin
57,Pennsylvania,Fulton
59,Pennsylvania,Greene
61,Pennsylvania,Huntingdon
63,Pennsylvania,Indiana
65,Pennsylvania,Jefferson
67,Pennsylvania,Juniata
69,Pennsylvania,Lackawanna
71,Pennsylvania,Lancaster
73,Pennsylvania,Lawrence
75,Pennsylvania,Lebanon
77,Pennsylvania,Lehigh
79,Pennsylvania,Luzerne
81,Pennsylvania,Lycoming
83,Pennsylvania,McKean
85,Pennsylvania,Mercer
87,Pennsylvania,Mifflin
89,Pennsylvania,Monroe
91,Pennsylvania,Montgomery
93,Pennsylvania,Montour
95,Pennsylvania,Northampton
97,Pennsylvania,Northumberland
99,Pennsylvania,Perry
101,Pennsylvania,Philadelphia
103,Pennsylvania,Pike
105,Pennsylvania,Potter
107,Pennsylvania,Schuylkill
109,Pennsylvania,Snyder
111,Pennsylvania,Somerset
113,Pennsylvania,Sullivan
115,Pennsylvania,Susquehanna
117,Pennsylvania,Tioga
119,Pennsylvania,Union
121,Pennsylvania,Venango
123,Pennsylvania,Warren
125,Pennsylvania,Washington
127,Pennsylvania,Wayne
129,Pennsylvania,Westmoreland
131,Pennsylvania,Wyoming
133,Pennsylvania,York
0,Rhode Island,Rhode Island
1,Rhode Island,Bristol
3,Rhode Island,Kent
5,Rhode Island,Newport
7,Rhode Island,Providence
9,Rhode Island,Washington
0,South Carolina,South Carolina
1,South Carolina,Abbeville
3,South Carolina,Aiken
5,South Carolina,Allendale
7,South Carolina,Anderson
9,South Carolina,Bamberg
11,South Carolina,Barnwell
13,South Carolina,Beaufort
15,South Carolina,Berkeley
17,South Carolina,Calhoun
19,South Carolina,Charleston
21,South Carolina,Cherokee
23,South Carolina,Chester
25,South Carolina,Chesterfield
27,South Carolina,Clarendon
29,South Carolina,Colleton
31,South Carolina,Darlington
33,South Carolina,Dillon
35,South Carolina,Dorchester
37,South Carolina,Edgefield
39,South Carolina,Fairfield
41,South Carolina,Florence
43,South Carolina,Georgetown
45,South Carolina,Greenville
47,South Carolina,Greenwood
49,South Carolina,Hampton
51,South Carolina,Horry
53,South Carolina,Jasper
55,South Carolina,Kershaw
57,South Carolina,Lancaster
59,South Carolina,Laurens
61,South Carolina,Lee
63,South Carolina,Lexington
65,South Carolina,McCormick
67,South Carolina,Marion
69,South Carolina,Marlboro
71,South Carolina,Newberry
73,South Carolina,Oconee
75,South Carolina,Orangeburg
77,South Carolina,Pickens
79,South Carolina,Richland
81,South Carolina,Saluda
83,South Carolina,Spartanburg
85,South Carolina,Sumter
87,South Carolina,Union
89,South Carolina,Williamsburg
91,South Carolina,York
0,South Dakota,South Dakota
3,South Dakota,Aurora
5,South Dakota,Beadle
7,South Dakota,Bennett
9,South Dakota,Bon Homme
11,South Dakota,Brookings
13,South Dakota,Brown
15,South Dakota,Brule
17,South Dakota,Buffalo
19,South Dakota,Butte
21,South Dakota,Campbell
23,South Dakota,Charles Mix
25,South Dakota,Clark
27,South Dakota,Clay
29,South Dakota,Codington
31,South Dakota,Corson
33,South Dakota,Custer
35,South Dakota,Davison
37,South Dakota,Day
39,South Dakota,Deuel
41,South Dakota,Dewey
43,South Dakota,Douglas
45,South Dakota,Edmunds
47,South Dakota,Fall River
49,South Dakota,Faulk
51,South Dakota,Grant
53,South Dakota,Gregory
55,South Dakota,Haakon
57,South Dakota,Hamlin
59,South Dakota,Hand
61,South Dakota,Hanson
63,South Dakota,Harding
65,South Dakota,Hughes
67,South Dakota,Hutchinson
69,South Dakota,Hyde
71,South Dakota,Jackson
73,South Dakota,Jerauld
75,South Dakota,Jones
77,South Dakota,Kingsbury
79,South Dakota,Lake
81,South Dakota,Lawrence
83,South Dakota,Lincoln
85,South Dakota,Lyman
87,South Dakota,McCook
89,South Dakota,McPherson
91,South Dakota,Marshall
93,South Dakota,Meade
95,South Dakota,Mellette
97,South Dakota,Miner
99,South Dakota,Minnehaha
101,South Dakota,Moody
102,South Dakota,Oglala Lakota
103,South Dakota,Pennington
105,South Dakota,Perkins
107,South Dakota,Potter
109,South Dakota,Roberts
111,South Dakota,Sanborn
115,South Dakota,Spink
117,South Dakota,Stanley
119,South Dakota,Sully
121,South Dakota,Todd
123,South Dakota,Tripp
125,South Dakota,Turner
127,South Dakota,Union
129,South Dakota,Walworth
135,South Dakota,Yankton
137,South Dakota,Ziebach
0,Tennessee,Tennessee
1,Tennessee,Anderson
3,Tennessee,Bedford
5,Tennessee,Benton
7,Tennessee,Bledsoe
9,Tennessee,Blount
11,Tennessee,Bradley
13,Tennessee,Campbell
15,Tennessee,Cannon
17,Tennessee,Carroll
19,Tennessee,Carter
21,Tennessee,Cheatham
23,Tennessee,Chester
25,Tennessee,Claiborne
27,Tennessee,Clay
29,Tennessee,Cocke
31,Tennessee,Coffee
33,Tennessee,Crockett
35,Tennessee,Cumberland
37,Tennessee,Davidson
39,Tennessee,Decatur
41,Tennessee,DeKalb
43,Tennessee,Dickson
45,Tennessee,Dyer
47,Tennessee,Fayette
49,Tennessee,Fentress
51,Tennessee,Franklin
53,Tennessee,Gibson
55,Tennessee,Giles
57,Tennessee,Grainger
59,Tennessee,Greene
61,Tennessee,Grundy
63,Tennessee,Hamblen
65,Tennessee,Hamilton
67,Tennessee,Hancock
69,Tennessee,Hardeman
71,Tennessee,Hardin
73,Tennessee,Hawkins
75,Tennessee,Haywood
77,Tennessee,Henderson
79,Tennessee,Henry
81,Tennessee,Hickman
83,Tennessee,Houston
85,Tennessee,Humphreys
87,Tennessee,Jackson
89,Tennessee,Jefferson
91,Tennessee,Johnson
93,Tennessee,Knox
95,Tennessee,Lake
97,Tennessee,Lauderdale
99,Tennessee,Lawrence
101,Tennessee,Lewis
103,Tennessee,Lincoln
105,Tennessee,Loudon
107,Tennessee,McMinn
109,Tennessee,McNairy
111,Tennessee,Macon
113,Tennessee,Madison
115,Tennessee,Marion
117,Tennessee,Marshall
119,Tennessee,Maury
121,Tennessee,Meigs
123,Tennessee,Monroe
125,Tennessee,Montgomery
127,Tennessee,Moore
129,Tennessee,Morgan
131,Tennessee,Obion
133,Tennessee,Overton
135,Tennessee,Perry
137,Tennessee,Pickett
139,Tennessee,Polk
141,Tennessee,Putnam
143,Tennessee,Rhea
145,Tennessee,Roane
147,Tennessee,Robertson
149,Tennessee,Rutherford
151,Tennessee,Scott
153,Tennessee,Sequatchie
155,Tennessee,Sevier
157,Tennessee,Shelby
159,Tennessee,Smith
161,Tennessee,Stewart
163,Tennessee,Sullivan
165,Tennessee,Sumner
167,Tennessee,Tipton
169,Tennessee,Trousdale
171,Tennessee,Unicoi
173,Tennessee,Union
175,Tennessee,Van Buren
177,Tennessee,Warren
179,Tennessee,Washington
181,Tennessee,Wayne
183,Tennessee,Weakley
185,Tennessee,White
187,Tennessee,Williamson
189,Tennessee,Wilson
0,Texas,Texas
1,Texas,Anderson
3,Texas,Andrews
5,Texas,Angelina
7,Texas,Aransas
9,Texas,Archer
11,Texas,Armstrong
13,Texas,Atascosa
15,Texas,Austin
17,Texas,Bailey
19,Texas,Bandera
21,Texas,Bastrop
23,Texas,Baylor
25,Texas,Bee
27,Texas,Bell
29,Texas,Bexar
31,Texas,Blanco
33,Texas,Borden
35,Texas,Bosque
37,Texas,Bowie
39,Texas,Brazoria
41,Texas,Brazos
43,Texas,Brewster
45,Texas,Briscoe
47,Texas,Brooks
49,Texas,Brown
51,Texas,Burleson
53,Texas,Burnet
55,Texas,Caldwell
57,Texas,Calhoun
59,Texas,Callahan
61,Texas,Cameron
63,Texas,Camp
65,Texas,Carson
67,Texas,Cass
69,Texas,Castro
71,Texas,Chambers
73,Texas,Cherokee
75,Texas,Childress
77,Texas,Clay
79,Texas,Cochran
81,Texas,Coke
83,Texas,Coleman
85,Texas,Collin
87,Texas,Collingsworth
89,Texas,Colorado
91,Texas,Comal
93,Texas,Comanche
95,Texas,Concho
97,Texas,Cooke
99,Texas,Coryell
101,Texas,Cottle
103,Texas,Crane
105,Texas,Crockett
107,Texas,Crosby
109,Texas,Culberson
111,Texas,Dallam
113,Texas,Dallas
115,Texas,Dawson
117,Texas,Deaf Smith
119,Texas,Delta
121,Texas,Denton
123,Texas,DeWitt
125,Texas,Dickens
127,Texas,Dimmit
129,Texas,Donley
131,Texas,Duval
133,Texas,Eastland
135,Texas,Ector
137,Texas,Edwards
139,Texas,Ellis
141,Texas,El Paso
143,Texas,Erath
145,Texas,Falls
147,Texas,Fannin
149,Texas,Fayette
151,Texas,Fisher
153,Texas,Floyd
155,Texas,Foard
157,Texas,Fort Bend
159,Texas,Franklin
161,Texas,Freestone
163,Texas,Frio
165,Texas,Gaines
167,Texas,Galveston
169,Texas,Garza
171,Texas,Gillespie
173,Texas,Glasscock
175,Texas,Goliad
177,Texas,Gonzales
179,Texas,Gray
181,Texas,Grayson
183,Texas,Gregg
185,Texas,Grimes
187,Texas,Guadalupe
189,Texas,Hale
191,Texas,Hall
193,Texas,Hamilton
195,Texas,Hansford
197,Texas,Hardeman
199,Texas,Hardin
201,Texas,Harris
203,Texas,Harrison
205,Texas,Hartley
207,Texas,Haskell
209,Texas,Hays
211,Texas,Hemphill
213,Texas,Henderson
215,Texas,Hidalgo
217,Texas,Hill
219,Texas,Hockley
221,Texas,Hood
223,Texas,Hopkins
225,Texas,Houston
227,Texas,Howard
229,Texas,Hudspeth
231,Texas,Hunt
233,Texas,Hutchinson
235,Texas,Irion
237,Texas,Jack
239,Texas,Jackson
241,Texas,Jasper
243,Texas,Jeff Davis
245,Texas,Jefferson
247,Texas,Jim Hogg
249,Texas,Jim Wells
251,Texas,Johnson
253,Texas,Jones
255,Texas,Karnes
257,Texas,Kaufman
259,Texas,Kendall
261,Texas,Kenedy
263,Texas,Kent
265,Texas,Kerr
267,Texas,Kimble
269,Texas,King
271,Texas,Kinney
273,Texas,Kleberg
275,Texas,Knox
277,Texas,Lamar
279,Texas,Lamb
281,Texas,Lampasas
283,Texas,La Salle
285,Texas,Lavaca
287,Texas,Lee
289,Texas,Leon
291,Texas,Liberty
293,Texas,Limestone
295,Texas,Lipscomb
297,Texas,Live Oak
299,Texas,Llano
301,Texas,Loving
303,Texas,Lubbock
305,Texas,Lynn
307,Texas,McCulloch
309,Texas,McLennan
311,Texas,McMullen
313,Texas,Madison
315,Texas,Marion
317,Texas,Martin
319,Texas,Mason
321,Texas,Matagorda
323,Texas,Maverick
325,Texas,Medina
327,Texas,Menard
329,Texas,Midland
331,Texas,Milam
333,Texas,Mills
335,Texas,Mitchell
337,Texas,Montague
339,Texas,Montgomery
341,Texas,Moore
343,Texas,Morris
345,Texas,Motley
347,Texas,Nacogdoches
349,Texas,Navarro
351,Texas,Newton
353,Texas,Nolan
355,Texas,Nueces
357,Texas,Ochiltree
359,Texas,Oldham
361,Texas,Orange
363,Texas,Palo Pinto
365,Texas,Panola
367,Texas,Parker
369,Texas,Parmer
371,Texas,Pecos
373,Texas,Polk
375,Texas,Potter
377,Texas,Presidio
379,Texas,Rains
381,Texas,Randall
383,Texas,Reagan
385,Texas,Real
387,Texas,Red River
389,Texas,Reeves
391,Texas,Refugio
393,Texas,Roberts
395,Texas,Robertson
397,Texas,Rockwall
399,Texas,Runnels
401,Texas,Rusk
403,Texas,Sabine
405,Texas,San Augustine
407,Texas,San Jacinto
409,Texas,San Patricio
411,Texas,San Saba
413,Texas,Schleicher
415,Texas,Scurry
417,Texas,Shackelford
419,Texas,Shelby
421,Texas,Sherman
423,Texas,Smith
425,Texas,Somervell
427,Texas,Starr
429,Texas,Stephens
431,Texas,Sterling
433,Texas,Stonewall
435,Texas,Sutton
437,Texas,Swisher
439,Texas,Tarrant
441,Texas,Taylor
443,Texas,Terrell
445,Texas,Terry
447,Texas,Throckmorton
449,Texas,Titus
451,Texas,Tom Green
453,Texas,Travis
455,Texas,Trinity
457,Texas,Tyler
459,Texas,Upshur
461,Texas,Upton
463,Texas,Uvalde
465,Texas,Val Verde
467,Texas,Van Zandt
469,Texas,Victoria
471,Texas,Walker
473,Texas,Waller
475,Texas,Ward
477,Texas,Washington
479,Texas,Webb
481,Texas,Wharton
483,Texas,Wheeler
485,Texas,Wichita
487,Texas,Wilbarger
489,Texas,Willacy
491,Texas,Williamson
493,Texas,Wilson
495,Texas,Winkler
497,Texas,Wise
499,Texas,Wood
501,Texas,Yoakum
503,Texas,Young
505,Texas,Zapata
507,Texas,Zavala
0,Utah,Utah
1,Utah,Beaver
3,Utah,Box Elder
5,Utah,Cache
7,Utah,Carbon
9,Utah,Daggett
11,Utah,Davis
13,Utah,Duchesne
15,Utah,Emery
17,Utah,Garfield
19,Utah,Grand
21,Utah,Iron
23,Utah,Juab
25,Utah,Kane
27,Utah,Millard
29,Utah,Morgan
31,Utah,Piute
33,Utah,Rich
35,Utah,Salt Lake
37,Utah,San Juan
39,Utah,Sanpete
41,Utah,Sevier
43,Utah,Summit
45,Utah,Tooele
47,Utah,Uintah
49,Utah,Utah
51,Utah,Wasatch
53,Utah,Washington
55,Utah,Wayne
57,Utah,Weber
0,Vermont,Vermont
1,Vermont,Addison
3,Vermont,Bennington
5,Vermont,Caledonia
7,Vermont,Chittenden
9,Vermont,Essex
11,Vermont,Franklin
13,Vermont,Grand Isle
15,Vermont,Lamoille
17,Vermont,Orange
19,Vermont,Orleans
21,Vermont,Rutland
23,Vermont,Washington
25,Vermont,Windham
27,Vermont,Windsor
0,Virginia,Virginia
1,Virginia,Accomack
3,Virginia,Albemarle
5,Virginia,Alleghany
7,Virginia,Amelia
9,Virginia,Amherst
11,Virginia,Appomattox
13,Virginia,Arlington
15,Virginia,Augusta
17,Virginia,Bath
19,Virginia,Bedford
21,Virginia,Bland
23,Virginia,Botetourt
25,Virginia,Brunswick
27,Virginia,Buchanan
29,Virginia,Buckingham
31,Virginia,Campbell
33,Virginia,Caroline
35,Virginia,Carroll
36,Virginia,Charles City
37,Virginia,Charlotte
41,Virginia,Chesterfield
43,Virginia,Clarke
45,Virginia,Craig
47,Virginia,Culpeper
49,Virginia,Cumberland
51,Virginia,Dickenson
53,Virginia,Dinwiddie
57,Virginia,Essex
59,Virginia,Fairfax
61,Virginia,Fauquier
63,Virginia,Floyd
65,Virginia,Fluvanna
67,Virginia,Franklin
69,Virginia,Frederick
71,Virginia,Giles
73,Virginia,Gloucester
75,Virginia,Goochland
77,Virginia,Grayson
79,Virginia,Greene
81,Virginia,Greensville
83,Virginia,Halifax
85,Virginia,Hanover
87,Virginia,Henrico
89,Virginia,Henry
91,Virginia,Highland
93,Virginia,Isle of Wight
95,Virginia,James City
97,Virginia,King and Queen
99,Virginia,King George
101,Virginia,King William
103,Virginia,Lancaster
105,Virginia,Lee
107,Virginia,Loudoun
109,Virginia,Louisa
111,Virginia,Lunenburg
113,Virginia,Madison
115,Virginia,Mathews
117,Virginia,Mecklenburg
119,Virginia,Middlesex
121,Virginia,Montgomery
125,Virginia,Nelson
127,Virginia,New Kent
131,Virginia,Northampton
133,Virginia,Northumberland
135,Virginia,Nottoway
137,Virginia,Orange
139,Virginia,Page
141,Virginia,Patrick
143,Virginia,Pittsylvania
145,Virginia,Powhatan
147,Virginia,Prince Edward
149,Virginia,Prince George
153,Virginia,Prince William
155,Virginia,Pulaski
157,Virginia,Rappahannock
159,Virginia,Richmond
161,Virginia,Roanoke
163,Virginia,Rockbridge
165,Virginia,Rockingham
167,Virginia,Russell
169,Virginia,Scott
171,Virginia,Shenandoah
173,Virginia,Smyth
175,Virginia,Southampton
177,Virginia,Spotsylvania
179,Virginia,Stafford
181,Virginia,Surry
183,Virginia,Sussex
185,Virginia,Tazewell
187,Virginia,Warren
191,Virginia,Washington
193,Virginia,Westmoreland
195,Virginia,Wise
197,Virginia,Wythe
199,Virginia,York
510,Virginia,Alexandria city
520,Virginia,Bristol city
530,Virginia,Buena Vista city
540,Virginia,Charlottesville city
550,Virginia,Chesapeake city
570,Virginia,Colonial Heights city
580,Virginia,Covington city
590,Virginia,Danville city
595,Virginia,Emporia city
600,Virginia,Fairfax city
610,Virginia,Falls Church city
620,Virginia,Franklin city
630,Virginia,Fredericksburg city
640,Virginia,Galax city
650,Virginia,Hampton city
660,Virginia,Harrisonburg city
670,Virginia,Hopewell city
678,Virginia,Lexington city
680,Virginia,Lynchburg city
683,Virginia,Manassas city
685,Virginia,Manassas Park city
690,Virginia,Martinsville city
700,Virginia,Newport News city
710,Virginia,Norfolk city
720,Virginia,Norton city
730,Virginia,Petersburg city
735,Virginia,Poquoson city
740,Virginia,Portsmouth city
750,Virginia,Radford city
760,Virginia,Richmond city
770,Virginia,Roanoke city
775,Virginia,Salem city
790,Virginia,Staunton city
800,Virginia,Suffolk city
810,Virginia,Virginia Beach city
820,Virginia,Waynesboro city
830,Virginia,Williamsburg city
840,Virginia,Winchester city
0,Washington,Washington
1,Washington,Adams
3,Washington,Asotin
5,Washington,Benton
7,Washington,Chelan
9,Washington,Clallam
11,Washington,Clark
13,Washington,Columbia
15,Washington,Cowlitz
17,Washington,Douglas
19,Washington,Ferry
21,Washington,Franklin
23,Washington,Garfield
25,Washington,Grant
27,Washington,Grays Harbor
29,Washington,Island
31,Washington,Jefferson
33,Washington,King
35,Washington,Kitsap
37,Washington,Kittitas
39,Washington,Klickitat
41,Washington,Lewis
43,Washington,Lincoln
45,Washington,Mason
47,Washington,Okanogan
49,Washington,Pacific
51,Washington,Pend Oreille
53,Washington,Pierce
55,Washington,San Juan
57,Washington,Skagit
59,Washington,Skamania
61,Washington,Snohomish
63,Washington,Spokane
65,Washington,Stevens
67,Washington,Thurston
69,Washington,Wahkiakum
71,Washington,Walla Walla
73,Washington,Whatcom
75,Washington,Whitman
77,Washington,Yakima
0,West Virginia,West Virginia
1,West Virginia,Barbour
3,West Virginia,Berkeley
5,West Virginia,Boone
7,West Virginia,Braxton
9,West Virginia,Brooke
11,West Virginia,Cabell
13,West Virginia,Calhoun
15,West Virginia,Clay
17,West Virginia,Doddridge
19,West Virginia,Fayette
21,West Virginia,Gilmer
23,West Virginia,Grant
25,West Virginia,Greenbrier
27,West Virginia,Hampshire
29,West Virginia,Hancock
31,West Virginia,Hardy
33,West Virginia,Harrison
35,West Virginia,Jackson
37,West Virginia,Jefferson
39,West Virginia,Kanawha
41,West Virginia,Lewis
43,West Virginia,Lincoln
45,West Virginia,Logan
47,West Virginia,McDowell
49,West Virginia,Marion
51,West Virginia,Marshall
53,West Virginia,Mason
55,West Virginia,Mercer
57,West Virginia,Mineral
59,West Virginia,Mingo
61,West Virginia,Monongalia
63,West Virginia,Monroe
65,West Virginia,Morgan
67,West Virginia,Nicholas
69,West Virginia,Ohio
71,West Virginia,Pendleton
73,West Virginia,Pleasants
75,West Virginia,Pocahontas
77,West Virginia,Preston
79,West Virginia,Putnam
81,West Virginia,Raleigh
83,West Virginia,Randolph
85,West Virginia,Ritchie
87,West Virginia,Roane
89,West Virginia,Summers
91,West Virginia,Taylor
93,West Virginia,Tucker
95,West Virginia,Tyler
97,West Virginia,Upshur
99,West Virginia,Wayne
101,West Virginia,Webster
103,West Virginia,Wetzel
105,West Virginia,Wirt
107,West Virginia,Wood
109,West Virginia,Wyoming
0,Wisconsin,Wisconsin
1,Wisconsin,Adams
3,Wisconsin,Ashland
5,Wisconsin,Barron
7,Wisconsin,Bayfield
9,Wisconsin,Brown
11,Wisconsin,Buffalo
13,Wisconsin,Burnett
15,Wisconsin,Calumet
17,Wisconsin,Chippewa
19,Wisconsin,Clark
21,Wisconsin,Columbia
23,Wisconsin,Crawford
25,Wisconsin,Dane
27,Wisconsin,Dodge
29,Wisconsin,Door
31,Wisconsin,Douglas
33,Wisconsin,Dunn
35,Wisconsin,Eau Claire
37,Wisconsin,Florence
39,Wisconsin,Fond du Lac
41,Wisconsin,Forest
43,Wisconsin,Grant
45,Wisconsin,Green
47,Wisconsin,Green Lake
49,Wisconsin,Iowa
51,Wisconsin,Iron
53,Wisconsin,Jackson
55,Wisconsin,Jefferson
57,Wisconsin,Juneau
59,Wisconsin,Kenosha
61,Wisconsin,Kewaunee
63,Wisconsin,La Crosse
65,Wisconsin,Lafayette
67,Wisconsin,Langlade
69,Wisconsin,Lincoln
71,Wisconsin,Manitowoc
73,Wisconsin,Marathon
75,Wisconsin,Marinette
77,Wisconsin,Marquette
78,Wisconsin,Menominee
79,Wisconsin,Milwaukee
81,Wisconsin,Monroe
83,Wisconsin,Oconto
85,Wisconsin,Oneida
87,Wisconsin,Outagamie
89,Wisconsin,Ozaukee
91,Wisconsin,Pepin
93,Wisconsin,Pierce
95,Wisconsin,Polk
97,Wisconsin,Portage
99,Wisconsin,Price
101,Wisconsin,Racine
103,Wisconsin,Richland
105,Wisconsin,Rock
107,Wisconsin,Rusk
109,Wisconsin,St. Croix
111,Wisconsin,Sauk
113,Wisconsin,Sawyer
115,Wisconsin,Shawano
117,Wisconsin,Sheboygan
119,Wisconsin,Taylor
121,Wisconsin,Trempealeau
123,Wisconsin,Vernon
125,Wisconsin,Vilas
127,Wisconsin,Walworth
129,Wisconsin,Washburn
131,Wisconsin,Washington
133,Wisconsin,Waukesha
135,Wisconsin,Waupaca
137,Wisconsin,Waushara
139,Wisconsin,Winnebago
141,Wisconsin,Wood
0,Wyoming,Wyoming
1,Wyoming,Albany
3,Wyoming,Big Horn
5,Wyoming,Campbell
7,Wyoming,Carbon
9,Wyoming,Converse
11,Wyoming,Crook
13,Wyoming,Fremont
15,Wyoming,Goshen
17,Wyoming,Hot Springs
19,Wyoming,Johnson
21,Wyoming,Laramie
23,Wyoming,Lincoln
25,Wyoming,Natrona
27,Wyoming,Niobrara
29,Wyoming,Park
31,Wyoming,Platte
33,Wyoming,Sheridan
35,Wyoming,Sublette
37,Wyoming,Sweetwater
39,Wyoming,Teton
41,Wyoming,Uinta
43,Wyoming,Washakie
45,Wyoming,Weston